"bigrama" "frecuencia"
"1" "DE" 2566075.0803344
"2" "ES" 2313387.38717709
"3" "EN" 2273251.82460902
"4" "EL" 2012586.89967277
"5" "LA" 1798661.20599576
"6" "OS" 1794670.74722201
"7" "ON" 1606737.09351348
"8" "AS" 1557893.28839972
"9" "ER" 1522567.65381787
"10" "RA" 1470775.23384666
"11" "AD" 1434757.90336283
"12" "AR" 1428727.98597934
"13" "RE" 1421338.01999284
"14" "AL" 1332205.07862052
"15" "AN" 1239581.71441068
"16" "NT" 1215695.47688624
"17" "UE" 1211099.32347718
"18" "CI" 1150112.1395088
"19" "CO" 1126354.90388437
"20" "SE" 1110069.94974455
"21" "TA" 1090370.74531769
"22" "TE" 1004439.50824476
"23" "OR" 984723.103564568
"24" "DO" 982877.76209961
"25" "IO" 978169.807043872
"26" "AC" 955969.194346277
"27" "ST" 954431.000262304
"28" NA 919980.121421503
"29" "RO" 848760.015308225
"30" "UN" 843263.305778118
"31" "LO" 840148.83133493
"32" "QU" 840017.372255869
"33" "NE" 822512.428718772
"34" "TO" 783561.226451778
"35" "IN" 779156.733008453
"36" "CA" 778883.986134139
"37" "IA" 775714.225162374
"38" "RI" 731992.409773921
"39" "EC" 730999.709438578
"40" "LE" 725113.537029381
"41" "DA" 705284.10211299
"42" "PA" 685417.80951088
"43" "SI" 679186.403445456
"44" "TI" 670924.13889696
"45" "SA" 668938.738226273
"46" "IC" 663369.541914253
"47" "OD" 662816.67662848
"48" "MA" 654483.153887595
"49" "ND" 647109.159564907
"50" "NO" 631791.105380423
"51" "PO" 611079.543185843
"52" "IE" 602446.244601117
"53" "TR" 598771.533335012
"54" "SD" 596309.439929037
"55" "ID" 579981.485155874
"56" "IS" 555710.69911044
"57" "NC" 551834.499162409
"58" "DI" 542712.221947155
"59" "LI" 536694.590458897
"60" "AM" 528530.613072315
"61" "SP" 526778.644411177
"62" "ED" 524327.608310917
"63" "ME" 505827.507259428
"64" "PR" 494491.311722034
"65" "SO" 489581.86798437
"66" "OL" 476155.841666754
"67" "OM" 476007.182334357
"68" "AP" 473826.435929363
"69" "EM" 459772.600365014
"70" "AE" 454355.749153963
"71" "EE" 450355.461664014
"72" "NI" 444705.178443414
"73" "SU" 443261.585752784
"74" "PE" 429422.753355124
"75" "MI" 428658.570671234
"76" "AT" 420655.538512289
"77" "OC" 415727.665931765
"78" "EA" 415634.293127946
"79" "MO" 403154.280743764
"80" "HA" 402767.275043722
"81" "SC" 400768.359888272
"82" "OE" 390332.720471926
"83" "AB" 382951.354612094
"84" "CE" 374686.63288455
"85" "NS" 354667.995181472
"86" "OP" 343399.372067894
"87" "ET" 338401.469884506
"88" "IT" 333987.14772499
"89" "RT" 322718.524611412
"90" "CU" 321107.843745527
"91" "EP" 319597.907220605
"92" "VI" 317592.849117535
"93" "BA" 305897.90543915
"94" "AA" 301809.159503478
"95" "NL" 287117.685976203
"96" "OA" 282155.41288901
"97" "EG" 280867.851067921
"98" "IM" 276913.021390358
"99" "IL" 274034.436135767
"100" "LL" 272491.327693698
"101" "VE" 261548.280803964
"102" "UR" 261526.166192534
"103" "GA" 252583.263047774
"104" "BI" 252343.688090606
"105" "IR" 248419.573151142
"106" "OT" 238281.252399589
"107" "AY" 235837.587836472
"108" "MP" 233742.842698155
"109" "GU" 232866.858367585
"110" "LP" 232205.877203706
