"V1" "V2"
"1" "DEL" 748718.499591651
"2" "QUE" 739399.446484069
"3" "ENT" 670275.25811053
"4" "ION" 560267.642409175
"5" "ELA" 547036.626938626
"6" "CON" 536839.403583586
"7" "SDE" 519843.202080383
"8" "ADE" 508624.763749192
"9" "CIO" 496157.482743146
"10" "NTE" 491143.454035636
"11" "EST" 479313.033039078
"12" "LOS" 471832.41566201
"13" "ODE" 466631.806873595
"14" "ADO" 446743.61411637
"15" "RES" 403219.45671015
"16" "STA" 378849.610409596
"17" "ACI" 359930.390205869
"18" "LAS" 348366.156791402
"19" "ARA" 341078.338831268
"20" "ENE" 324895.626480808
"21" "PAR" 321096.856033591
"22" "DES" 309175.632730992
"23" "ESE" 303326.969128236
"24" "IEN" 297259.384897218
"25" "ALA" 294206.934773619
"26" "POR" 291370.917543869
"27" "ONE" 290554.940656713
"28" "NDE" 288334.637693948
"29" "TRA" 284783.39682073
"30" "NES" 274017.726152534
"31" "CIA" 273791.342321037
"32" "ERA" 273349.769462896
"33" "EDE" 259763.007971422
"34" "DAD" 253273.75275756
"35" "ICA" 252166.710944193
"36" "DOS" 250159.109273659
"37" "ANT" 248149.019868714
"38" "UNA" 247662.667791156
"39" "IDA" 241947.097979445
"40" "NCI" 234477.67540723
"41" "ESD" 230829.412891942
"42" "MEN" 229683.811195188
"43" "COM" 229342.991580736
"44" "LES" 227993.395662192
"45" "OSE" 227005.765100604
"46" "NTO" 226990.838694131
"47" "ESP" 224270.501114542
"48" "ASE" 223942.12017215
"49" "PER" 223066.437659105
"50" "ARE" 222820.151952311
"51" "ENC" 219817.456516952
"52" "IST" 212009.702064698
"53" "PRE" 210264.556374637
"54" "ELO" 208758.233188133
"55" "ERO" 208355.220213379
"56" "SEN" 207225.788790304
"57" "UES" 206654.853742735
"58" "ACO" 206083.918695167
"59" "OSD" 206037.895608544
"60" "NTR" 199171.748631255
"61" "ONA" 198867.001165777
"62" "OND" 197426.602941194
"63" "PRO" 197315.898759857
"64" "ADA" 196488.727067847
"65" "ERE" 195660.31150863
"66" "RAN" 195002.30575664
"67" "REC" 194369.17734877
"68" "NLA" 194065.673750499
"69" "NTA" 191992.147118046
"70" "LAC" 190579.113971995
"71" "ALE" 188817.798008255
"72" "ELP" 186068.851482927
"73" "IDO" 185257.850064595
"74" "NEL" 182438.003108524
"75" "TER" 181886.969936252
"76" "ELE" 179298.482280502
"77" "ICI" 178916.615048251
"78" "TAD" 178618.086918803
"79" "ORE" 175911.431878481
"80" "ESA" 174550.641155083
"81" "ENL" 172612.696048087
"82" "SCO" 171289.22134087
"83" "NOS" 169231.864982096
"84" "ECO" 167269.042530979
"85" "ESI" 167153.362880818
"86" "ASA" 164767.625579651
"87" "OQU" 163752.62993953
"88" "TOD" 163461.565013319
"89" "AND" 163222.742509761
"90" "OSA" 162087.091750655
"91" "RAL" 162069.677609771
"92" "RAS" 161236.28658173
"93" "RAD" 160604.402041067
"94" "TEN" 159778.474216262
"95" "DEN" 159173.954754131
"96" "AQU" 159070.713776031
"97" "DEC" 156523.27373808
"98" "IER" 155250.797586311
"99" "NAL" 155048.047231728
"100" "TES" 154995.804809074
"101" "ARI" 153970.858231305
"102" "LAR" 153776.814947164
"103" "ALI" 153427.288262269
"104" "NDO" 153077.761577375
"105" "REL" 151939.623083857
"106" "TOS" 151335.103621726
"107" "OEN" 150434.54376456
"108" "TRO" 149476.766015916
"109" "OSP" 148035.123924126
"110" "SQU" 146807.426991774
"111" "AEN" 145206.569897613
"112" "SPA" 144962.771925231
"113" "STI" 144553.539614446
"114" "MAS" 143375.597370335
"115" "ASD" 143303.453072386
"116" "ICO" 143119.360725893
"117" "END" 143115.629124275
"118" "TAR" 142839.490604536
"119" "STR" 142471.305911551
"120" "RIO" 142424.038957722
"121" "RIA" 141746.131330435
"122" "LDE" 141305.8023395
"123" "UEL" 141156.538274777
"124" "ANA" 140698.795142957
"125" "ABA" 140241.052011138
"126" "STE" 140117.909157741
"127" "REN" 139420.099655158
"128" "ONT" 138962.356523338
"129" "DEE" 138883.992889358
"130" "EMA" 136764.443170282
"131" "ANO" 136666.177661006
"132" "ONS" 136188.53265389
"133" "ASI" 135444.700064684
"134" "OLA" 135439.724595859
"135" "ROS" 134760.573101367
"136" "OCO" 133420.928120472
"137" "RON" 133332.613548843
"138" "SIN" 133129.86319426
"139" "ESU" 132945.770847768
"140" "EDI" 132789.043579808
"141" "DER" 131897.190793084
"142" "ORA" 131704.391376149
"143" "ENA" 131628.515476581
"144" "TIC" 128620.844572399
"145" "SES" 127987.716164529
"146" "INA" 127787.453544359
"147" "ECI" 127623.263073162
"148" "APA" 127170.495410167
"149" "TAN" 126778.677240268
"150" "TOR" 126361.981726247
"151" "DEM" 126189.084184609
"152" "EES" 126166.694574901
"153" "ERI" 125945.286212227
"154" "ART" 125666.659958076
"155" "ELC" 124317.064039533
"156" "MAN" 123664.033756367
"157" "EEL" 123645.375748276
"158" "RDE" 123033.393082909
"159" "ALO" 122803.277649794
"160" "ESC" 122446.287761663
"161" "RAC" 121922.619667924
"162" "UER" 121829.329627471
"163" "UEE" 120916.331098245
"164" "LAP" 120712.336876456
"165" "ENS" 120561.828944526
"166" "STO" 118912.461029329
"167" "DEA" 118521.886726636
"168" "ITA" 118438.547623832
"169" "AUN" 118432.328287802
"170" "AME" 118375.110396324
"171" "SPO" 118344.013716173
"172" "TAS" 118130.068556736
"173" "AMA" 116424.726617268
"174" "NUN" 115792.842076604
"175" "EQU" 114427.075884383
"176" "NCO" 114269.104749217
"177" "APO" 114134.767090966
"178" "UEN" 113458.103330885
"179" "OSC" 112867.26640802
"180" "EUN" 112448.083159588
"181" "EEN" 112383.402064874
"182" "IOS" 112260.259211477
"183" "ENO" 112004.022567035
"184" "ACA" 111537.572364773
"185" "SPE" 110893.24915205
"186" "CAR" 110714.132274381
"187" "RLA" 110462.871098763
"188" "AEL" 110327.289573306
"189" "NAD" 110214.097657557
"190" "LIC" 110187.97644623
"191" "UNI" 109490.166943647
"192" "BRE" 109380.706629516
"193" "IDE" 109211.540689496
"194" "LAM" 108957.791779466
"195" "SAL" 108568.461343978
"196" "CAS" 107701.485901375
"197" "PUE" 107692.778830932
